scenario,active_vessels,raw_loss_items_per_vessel_year,retention_scenario,retention_factor,effective_loss_items_per_vessel_year,effective_aldfg_items_per_year,p_entanglement_per_gear,expected_value_per_gear_min_thb,expected_value_per_gear_mean_thb,expected_value_per_gear_max_thb,total_tier1_loss_min_thb,total_tier1_loss_mean_thb,total_tier1_loss_max_thb
High,57000,13487.470997679815,High_retention,0.2,2697.494199535963,153757169.3735499,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,789083823.0226735,1020658358.4801637,1192506099.1017895
High,57000,13487.470997679815,Low_retention,0.05,674.3735498839908,38439292.34338748,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,197270955.75566837,255164589.62004092,298126524.77544737
High,57000,13487.470997679815,Medium_retention,0.1,1348.7470997679816,76878584.68677495,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,394541911.51133674,510329179.24008185,596253049.5508947
Low,10000,420.6496519721578,High_retention,0.2,84.12993039443157,841299.3039443156,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,4317559.134103665,5584644.735935311,6524928.594947661
Low,10000,420.6496519721578,Low_retention,0.05,21.032482598607892,210324.8259860789,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,1079389.7835259163,1396161.1839838277,1631232.1487369153
Low,10000,420.6496519721578,Medium_retention,0.1,42.064965197215784,420649.6519721578,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,2158779.5670518326,2792322.3679676554,3262464.2974738306
Medium,40000,6954.060324825987,High_retention,0.2,1390.8120649651974,55632482.5986079,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,285506635.1182682,369295029.2894719,431473049.8571899
Medium,40000,6954.060324825987,Low_retention,0.05,347.70301624129934,13908120.649651974,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,71376658.77956705,92323757.32236798,107868262.46429747
Medium,40000,6954.060324825987,Medium_retention,0.1,695.4060324825987,27816241.29930395,0.0594059405940594,5.132013201320131,6.638118811881188,7.755775577557754,142753317.5591341,184647514.64473596,215736524.92859495
