survey,date,site,location,province,item,depth_min_(m),depth_max_(m),gear,length_(cm),width_(cm),heigth_(cm),type,category,full_name,living_animals,dead_animals,total_number_of_animals
S0022,24/04/2021,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,225,17.2,17.2,Net,600,200,NA,Fish,I,Fish (Unid),0,1,1
S0022,24/04/2021,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,226,16.5,16.5,Net,250,150,NA,Fish,H,Apogonidae.sp,1,0,1
S0022,24/04/2021,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,226,16.5,16.5,Net,250,150,NA,Fish,H,Filefish,0,1,1
S0023,13/09/2021,North Reef,Koh Mun Nai,Rayong,227,2,2,Net,97,85,NA,NA,NA,NA,0,0,0
S0023,13/09/2021,North Reef,Koh Mun Nai,Rayong,228,2,2,Net,72,27,NA,NA,NA,NA,0,0,0
S0023,13/09/2021,North Reef,Koh Mun Nai,Rayong,229,2,2,Rope,250,NA,NA,NA,NA,NA,0,0,0
S0023,13/09/2021,North Reef,Koh Mun Nai,Rayong,230,1.6,1.6,Rope,160,NA,NA,NA,NA,NA,0,0,0
S0024,44594,Pavillion,Koh Mun Nai,Rayong,231,6.7,6.7,Line,2371,NA,NA,NA,NA,NA,0,0,0
S0024,44594,Pavillion,Koh Mun Nai,Rayong,232,7,7,Net,69,60,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,233,2.5,2.5,Net,200,30,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,234,2,2,Rope,100,NA,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,235,2,2,Net,30,30,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,236,3,3,Net,50,20,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,237,2.5,2.5,Net,100,10,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,238,2,2,Net,20,20,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,239,3.5,3.5,Net,40,40,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,240,2.5,2.5,Net,90,20,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,241,3,3,Net,30,30,NA,NA,NA,NA,0,0,0
S0025,44683,Kata Beach,Phuket,Phuket,242,2,2,Net,30,250,NA,NA,NA,NA,0,0,0
S0026,44683,Kata Noi,Phuket,Phuket,243,7,7,Net,3,2,NA,NA,NA,NA,0,0,0
S0026,44683,Kata Noi,Phuket,Phuket,244,5,5,Net,2,2,NA,NA,NA,NA,0,0,0
S0026,44683,Kata Noi,Phuket,Phuket,245,6,6,Line,10,NA,NA,NA,NA,NA,0,0,0
S0026,44683,Kata Noi,Phuket,Phuket,246,5,5,Net,3,2,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,247,3,3,Hook/Lure,NA,NA,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,248,3,3,Hook/Lure,NA,NA,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,249,5,5,Net,350,200,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,250,3,3,Net,30,20,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,251,3,3,Net,300,200,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,252,3,3,Rope,100,NA,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,253,2,2,Hook/Lure,NA,NA,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,254,3,3,Net,90,20,NA,NA,NA,NA,0,0,0
S0027,44714,Kata Noi,Phuket,Phuket,255,4,4,Net,150,150,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,256,2.5,2.5,Net,100,30,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,256,2.5,2.5,Net,100,30,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,257,1,1,Net,30,30,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,258,1,1,Net,200,50,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,258,1,1,Net,200,50,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,259,1.5,1.5,Net,50,30,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,260,2.5,2.5,Net,200,70,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,261,3,3,Net,150,50,NA,NA,NA,NA,0,0,0
S0028,44691,Kata Beach,Phuket,Phuket,262,2.5,2.5,Net,220,100,NA,NA,NA,NA,0,0,0
S0029,16/02/2022,Pier North,Koh Mun Nai,Rayong,263,3.4,3.4,Net,260,120,NA,Inverts,B,Crabs (Unid),4,0,4
S0030,44607,Karon Beach,Phuket,Phuket,264,2.5,2.5,Net,30,20,NA,NA,NA,NA,0,0,0
S0030,44607,Karon Beach,Phuket,Phuket,265,2.5,2.5,Net,30,20,NA,NA,NA,NA,0,0,0
S0030,44607,Karon Beach,Phuket,Phuket,266,4,4,Net,100,20,NA,NA,NA,NA,0,0,0
S0030,44607,Karon Beach,Phuket,Phuket,267,2,2,Net,180,100,NA,NA,NA,NA,0,0,0
S0031,44604,Karon Beach,Phuket,Phuket,268,3.5,3.5,Net,200,100,NA,NA,NA,NA,0,0,0
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Inverts,F,Hermit Crabs (Unid),2,0,2
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Inverts,C,Murex (Unid),2,0,2
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Inverts,B,Decorator crab,1,0,1
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Fish,D,Wrasse,1,0,1
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Fish,C,Rabbitfish,1,0,1
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Fish,D,Blacktail angelfish,1,0,1
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Fish,B,Scorpionfish,1,0,1
S0031,44604,Karon Beach,Phuket,Phuket,269,4,4,Net,1200,200,NA,Fish,I,Fish (Unid),0,1,1
S0032,44605,Karon Beach,Phuket,Phuket,270,5,5,Net,1200,200,NA,Fish,B,Scorpionfish,1,0,1
S0032,44605,Karon Beach,Phuket,Phuket,270,5,5,Net,1200,200,NA,Inverts,C,Murex (Unid),2,0,2
S0032,44605,Karon Beach,Phuket,Phuket,270,5,5,Net,1200,200,NA,Fish,C,Dusky Rabbitfish,1,0,1
S0032,44605,Karon Beach,Phuket,Phuket,270,5,5,Net,1200,200,NA,Inverts,B,Crabs (Unid),1,0,1
S0032,44605,Karon Beach,Phuket,Phuket,271,5.5,5.5,Net,600,200,NA,Inverts,B,Seven Spot Crab,1,0,1
S0033,44609,Karon Beach,Phuket,Phuket,272,3,3,Net,500,300,NA,NA,NA,NA,0,0,0
S0034,44610,Kata Beach,Phuket,Phuket,273,2,2,Hook/Lure,NA,NA,NA,NA,NA,NA,0,0,0
S0034,44610,Kata Beach,Phuket,Phuket,274,3,3,Hook/Lure,NA,NA,NA,NA,NA,NA,0,0,0
S0034,44610,Kata Beach,Phuket,Phuket,275,2.5,2.5,Line,100,NA,NA,NA,NA,NA,0,0,0
S0034,44610,Kata Beach,Phuket,Phuket,276,2.5,2.5,Net,30,30,NA,NA,NA,NA,0,0,0
S0034,44610,Kata Beach,Phuket,Phuket,277,2,2,Net,100,30,NA,NA,NA,NA,0,0,0
S0035,29/01/2022,Hin Ploeng South,Hin Ploeng,Rayong,278,9,9,Net,2500,200,NA,Fish,B,Grouper,1,1,2
S0035,29/01/2022,Hin Ploeng South,Hin Ploeng,Rayong,278,9,9,Net,2500,200,NA,Inverts,B,Crabs (Unid),5,1,6
S0035,29/01/2022,Hin Ploeng South,Hin Ploeng,Rayong,278,9,9,Net,2500,200,NA,Fish,C,Rabbitfish,1,0,1
S0035,29/01/2022,Hin Ploeng South,Hin Ploeng,Rayong,278,9,9,Net,2500,200,NA,Fish,H,Damselfish,1,0,1
S0036,44609,Karon South Rocks,Phuket,Phuket,279,2,2,Net,40,20,NA,NA,NA,NA,0,0,0
S0036,44609,Karon South Rocks,Phuket,Phuket,280,3,3,Rope,60,NA,NA,NA,NA,NA,0,0,0
S0037,44616,Kata Beach,Phuket,Phuket,281,2,2,Rope,200,NA,NA,NA,NA,NA,0,0,0
S0037,44616,Kata Beach,Phuket,Phuket,282,3,3,Net,100,30,NA,NA,NA,NA,0,0,0
S0037,44616,Kata Beach,Phuket,Phuket,283,3.5,3.5,Net,150,100,NA,NA,NA,NA,0,0,0
S0038,44617,Kata Noi,Phuket,Phuket,284,3.5,3.5,Net,400,100,NA,NA,NA,NA,0,0,0
S0038,44617,Kata Noi,Phuket,Phuket,285,4.5,4.5,Net,100,50,NA,Inverts,C,Murex (Unid),1,0,1
S0038,44617,Kata Noi,Phuket,Phuket,286,6,6,Net,150,100,NA,NA,NA,NA,0,0,0
S0039,28/02/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,287,3.8,3.8,Net,115,75,NA,NA,NA,NA,NA,NA,0
S0039,28/02/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,288,6.1,6.1,Net,160,120,NA,NA,NA,NA,NA,NA,0
S0039,28/02/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,288,6.1,6.1,Net,160,120,NA,Inverts,B,Crabs (Unid),9,0,9
S0039,28/02/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,288,6.1,6.1,Net,160,120,NA,NA,NA,NA,NA,NA,0
S0039,28/02/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,289,3.3,3.3,Net,150,50,NA,NA,NA,NA,0,0,0
S0039,28/02/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,290,5.9,5.9,Net,40,30,NA,NA,NA,NA,0,0,0
S0040,44618,Kata Noi,Phuket,Phuket,291,3.5,3.5,Net,200,100,NA,NA,NA,NA,NA,0,0
S0040,44618,Kata Noi,Phuket,Phuket,292,4,4,Net,200,100,NA,NA,NA,NA,NA,0,0
S0041,44619,Karon,Phuket,Phuket,293,3,3,Net,300,200,NA,NA,NA,NA,0,0,0
S0041,44619,Karon,Phuket,Phuket,294,2,2,Net,400,100,NA,NA,NA,NA,0,0,0
S0042,44621,"Koh Phu, North",Kata,Phuket,295,4,4,Net,200,100,NA,NA,NA,NA,0,0,0
S0043,44623,Karon South,Phuket,Phuket,296,3,3,Net,300,100,NA,NA,NA,NA,0,0,0
S0043,44623,Karon South,Phuket,Phuket,297,4,4,Net,200,100,NA,NA,NA,NA,0,0,0
S0043,44623,Karon South,Phuket,Phuket,298,3,3,Net,300,150,NA,NA,NA,NA,0,0,0
S0043,44623,Karon South,Phuket,Phuket,299,1.5,1.5,Line,50,NA,NA,NA,NA,NA,0,0,0
S0044,44632,Hin Krachab,Koh Mun Klang,Rayong,300,7.9,7.9,Rope,530,NA,NA,Inverts,A,Bivalves,2,0,2
S0044,44632,Hin Krachab,Koh Mun Klang,Rayong,301,6.9,6.9,Net,46,NA,NA,NA,NA,NA,NA,NA,0
S0044,44632,Hin Krachab,Koh Mun Klang,Rayong,301,6.9,6.9,Net,46,NA,NA,Inverts,B,Crabs (Unid),1,0,1
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,302,6.8,6.8,Net,NA,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,303,5.3,5.3,Net,130,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,304,4.5,4.5,Line,390,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,305,5.2,5.2,Net,250,77,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,306,NA,NA,Line,NA,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,307,3,3,Rope,170,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,308,2.2000000000000002,2.2000000000000002,Rope,75,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,309,4,4,Rope,50,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,310,4,4,Net,52,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,311,4.7,4.7,Net,181,NA,NA,NA,NA,NA,0,0,0
S0045,44632,Chilli Drop,Koh Mun Nai,Rayong,312,5.3,5.3,Net,88,55,NA,NA,NA,NA,0,0,0
S0046,44632,Hin Krachab,Koh Mun Klang,Rayong,313,7.1,7.1,Net,275,90,NA,NA,NA,NA,0,0,0
S0046,44632,Hin Krachab,Koh Mun Klang,Rayong,314,7.3,7.3,Net,180,120,NA,NA,NA,NA,0,0,0
S0046,44632,Hin Krachab,Koh Mun Klang,Rayong,315,7.3,7.3,Net,120,70,NA,NA,NA,NA,0,0,0
S0046,44632,Hin Krachab,Koh Mun Klang,Rayong,316,8,8,Net,100,80,NA,Inverts,B,Crabs (Unid),1,0,1
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,317,4.3,4.3,Net,140,60,NA,NA,NA,NA,0,0,0
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,318,5.0999999999999996,5.0999999999999996,Net,10,5,NA,NA,NA,NA,0,0,0
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,319,5.0999999999999996,5.0999999999999996,Net,60,40,NA,NA,NA,NA,0,0,0
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,320,5.5,5.5,Net,120,30,NA,NA,NA,NA,0,0,0
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,321,5.5,5.5,Net,110,60,NA,NA,NA,NA,0,0,0
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,322,3.5,3.5,Rope,250,NA,NA,NA,NA,NA,0,0,0
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,323,3.4,3.4,Net,120,80,NA,NA,NA,NA,0,0,0
S0047,44632,Chilli Drop,Koh Mun Nai,Rayong,324,3.2,3.2,Net,100,40,NA,NA,NA,NA,0,0,0
S0048,44633,Petra Wrek,Koh Mun Nok,Rayong,325,16,16,Line,300,NA,NA,NA,NA,NA,0,0,0
S0048,44633,Petra Wrek,Koh Mun Nok,Rayong,326,16,16,Line,380,NA,NA,NA,NA,NA,0,0,0
S0048,44633,Petra Wrek,Koh Mun Nok,Rayong,327,15.5,15.5,Net,85,75,NA,NA,NA,NA,0,0,0
S0048,44633,Petra Wrek,Koh Mun Nok,Rayong,328,17,17,Net,180,115,NA,NA,NA,NA,0,0,0
S0048,44633,Petra Wrek,Koh Mun Nok,Rayong,329,18.5,18.5,Hook/Lure,NA,NA,NA,NA,NA,NA,0,0,0
S0048,44633,Petra Wrek,Koh Mun Nok,Rayong,330,19,19,Line,360,NA,NA,NA,NA,NA,0,0,0
S0049,44633,Deep Block,-,Rayong,331,16,16,Net,110,30,NA,NA,NA,NA,0,0,0
S0049,44633,Deep Block,-,Rayong,332,16,16,Net,245,115,NA,Inverts,B,Crabs (Unid),1,0,1
S0049,44633,Deep Block,-,Rayong,332,16,16,Net,245,115,NA,Inverts,D,Snails,1,0,1
S0049,44633,Deep Block,-,Rayong,332,16,16,Net,245,115,NA,Inverts,A,Clams,3,0,3
S0049,44633,Deep Block,-,Rayong,333,16.5,16.5,Net,265,65,NA,NA,NA,NA,0,0,0
S0049,44633,Deep Block,-,Rayong,334,16,16,Net,245,30,NA,NA,NA,NA,0,0,0
S0049,44633,Deep Block,-,Rayong,335,16.5,16.5,Net,55,30,NA,NA,NA,NA,0,0,0
S0049,44633,Deep Block,-,Rayong,336,15.9,15.9,Line,70,NA,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,337,15,15,Line,950,NA,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,338,15,15,Line,20,NA,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,339,16,16,Net,40,30,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,340,17,17,Line,60,NA,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,341,19,19,Line,500,NA,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,342,15.3,15.3,Net,175,35,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,343,15.9,15.9,Line,70,NA,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,344,15.6,15.6,Line,600,NA,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,345,17,17,Net,30,30,NA,NA,NA,NA,0,0,0
S0050,44633,Petra Wrek,Koh Mun Nok,Rayong,346,15,15,Line,300,NA,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,347,16.5,16.5,Net,75,5,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,348,17,17,Net,124,25,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,349,17,17,Net,100,90,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,350,17,17,Net,50,20,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,351,17,17,Net,40,20,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,352,16,16,Net,120,40,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,353,16,16,Net,70,15,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,354,16,16,Net,120,160,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,355,17,17,Net,110,120,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,356,17,17,Net,70,30,NA,NA,NA,NA,0,0,0
S0051,44633,Deep Block,-,Rayong,357,17,17,Line,230,NA,NA,NA,NA,NA,0,0,0
S0052,44632,Chilli Drop,Koh Mun Nai,Rayong,358,6,6,Net,100,NA,NA,NA,NA,NA,0,0,0
S0052,44632,Chilli Drop,Koh Mun Nai,Rayong,359,5,5,Rope,300,NA,NA,NA,NA,NA,0,0,0
S0052,44632,Chilli Drop,Koh Mun Nai,Rayong,360,5,5,Rope,900,NA,NA,NA,NA,NA,0,0,0
S0052,44632,Chilli Drop,Koh Mun Nai,Rayong,361,5,5,Net,70,50,NA,NA,NA,NA,0,0,0
S0052,44632,Chilli Drop,Koh Mun Nai,Rayong,362,5,5,Rope,110,NA,NA,NA,NA,NA,0,0,0
S0052,44632,Chilli Drop,Koh Mun Nai,Rayong,363,6,6,Net,90,50,NA,NA,NA,NA,0,0,0
S0053,44633,Petra Wrek,Koh Mun Nok,Rayong,364,16.399999999999999,16.399999999999999,Rope,900,NA,NA,NA,NA,NA,0,0,0
S0053,44633,Petra Wrek,Koh Mun Nok,Rayong,365,16.399999999999999,16.399999999999999,Cage,160,100,40,Fish,F,Porqupinefish,2,0,2
S0054,44633,Deep Block 5A,-,Rayong,366,16.899999999999999,16.899999999999999,Net,60,15,NA,NA,NA,NA,0,0,0
S0055,44644,Hin Yuan South,Koh Mun Nok,Rayong,377,6,6,Net,57,10,NA,NA,NA,NA,0,0,0
S0056,44647,Hin Yuan North,Koh Mun Nok,Rayong,388,5.0999999999999996,5.0999999999999996,Net,140,40,NA,NA,NA,NA,0,0,0
S0057,44646,Karon South,Phuket,Phuket,389,6,6,Net,200,20,NA,Inverts,C,Murex (Unid),2,0,2
S0057,44646,Karon South,Phuket,Phuket,390,4,4,Net,200,100,NA,NA,NA,NA,0,0,0
S0057,44646,Karon South,Phuket,Phuket,391,5,5,Net,300,150,NA,NA,NA,NA,0,0,0
S0057,44646,Karon South,Phuket,Phuket,392,4,4,Net,200,100,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,393,5.7,5.7,Net,90,26,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,394,5.8,5.8,Net,60,15,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,395,5.9,5.9,Net,195,70,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,396,6.6,6.6,Net,80,50,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,397,6.1,6.1,Net,155,80,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,398,4.3,4.3,Line,880,NA,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,399,5.7,5.7,Net,190,40,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,400,6.8,6.8,Net,310,50,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,401,6.8,6.8,Net,90,50,NA,NA,NA,NA,0,0,0
S0058,44667,Chilli Drop,Koh Mun Nai,Rayong,402,6.8,6.8,Net,139,34,NA,NA,NA,NA,0,0,0
S0059,22/04/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,403,1.9,1.9,Net,215,95,NA,NA,NA,NA,0,0,0
S0059,22/04/2022,Koh Mun Klang East,Koh Mun Klang,Rayong,403,1.9,1.9,Net,215,95,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,404,8.3000000000000007,8.3000000000000007,Rope,900,NA,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,405,8.3000000000000007,8.3000000000000007,Net,50,30,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,406,8.4,8.4,Rope,190,NA,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,407,8.4,8.4,Net,20,10,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,408,8.6,8.6,Net,90,30,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,409,8.1999999999999993,8.1999999999999993,Cage,130,90,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,410,8.1999999999999993,8.1999999999999993,Net,50,20,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,411,7.4,7.4,Rope,90,NA,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,412,7.4,7.4,Rope,380,NA,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,413,6.7,6.7,Rope,200,NA,NA,NA,NA,NA,0,0,0
S0060,44684,Koh Wai,Koh Chang,Trat,414,7.8,7.8,Cage,60,35,NA,NA,NA,NA,0,0,0
S0061,44684,Koh Wai,Koh Chang,Trat,415,6.2,6.2,Net,50,125,NA,NA,NA,NA,0,0,0
S0061,44684,Koh Wai,Koh Chang,Trat,416,3.1,3.1,Rope,600,NA,NA,NA,NA,NA,0,0,0
S0061,44684,Koh Wai,Koh Chang,Trat,417,2.5,2.5,Rope,172,NA,NA,NA,NA,NA,0,0,0
S0061,44684,Koh Wai,Koh Chang,Trat,418,5.0999999999999996,5.0999999999999996,Rope,2430,NA,NA,NA,NA,NA,0,0,0
S0061,44684,Koh Wai,Koh Chang,Trat,419,5.0999999999999996,5.0999999999999996,Line,141,NA,NA,NA,NA,NA,0,0,0
S0062,44684,Koh Wai,Koh Chang,Trat,420,7.7,7.7,Rope,NA,NA,NA,NA,NA,NA,0,0,0
S0062,44684,Koh Wai,Koh Chang,Trat,421,6.5,6.5,Cage,180,100,60,NA,NA,NA,0,0,0
S0062,44684,Koh Wai,Koh Chang,Trat,422,5,5,Line,830,NA,NA,NA,NA,NA,0,0,0
S0062,44684,Koh Wai,Koh Chang,Trat,423,3.5,3.5,Rope,515,NA,NA,Fish,C,Rabbitfish,0,1,1
S0062,44684,Koh Wai,Koh Chang,Trat,424,3.5,3.5,Rope,330,NA,NA,NA,NA,NA,0,0,0
S0062,44684,Koh Wai,Koh Chang,Trat,425,4.9000000000000004,4.9000000000000004,Net,30,50,NA,NA,NA,NA,0,0,0
S0062,44684,Koh Wai,Koh Chang,Trat,426,5.0999999999999996,5.0999999999999996,Rope,630,NA,NA,NA,NA,NA,0,0,0
S0062,44684,Koh Wai,Koh Chang,Trat,427,3,3,Rope,510,NA,NA,NA,NA,NA,0,0,0
S0063,44792,Japanese Garden,Koh Tao,Surat Thani,428,13.2,13.2,Net,34,22,NA,NA,NA,NA,0,0,0
S0063,44792,Japanese Garden,Koh Tao,Surat Thani,429,12.7,12.7,Rope,800,NA,NA,NA,NA,NA,0,0,0
S0063,44792,Japanese Garden,Koh Tao,Surat Thani,430,12.2,12.2,Line,930,NA,NA,NA,NA,NA,0,0,0
S0064,44795,Chang Wreck,Koh Chang,Trat,431,5,31,Net,12600,350,NA,Fish,C,Fusilier fish,1,0,1
S0064,44795,Chang Wreck,Koh Chang,Trat,431,5,31,Net,12600,350,NA,Inverts,C,Chicoreus ramosus,1,0,1
S0064,44795,Chang Wreck,Koh Chang,Trat,431,5,31,Net,12600,350,NA,Fish,C,Batfish,0,6,6
S0064,44795,Chang Wreck,Koh Chang,Trat,431,5,31,Net,12600,350,NA,Fish,C,Rabbitfish,0,3,3
S0064,44795,Chang Wreck,Koh Chang,Trat,431,5,31,Net,12600,350,NA,Fish,H,Squirrelfish,0,1,1
S0064,44795,Chang Wreck,Koh Chang,Trat,431,5,31,Net,12600,350,NA,Fish,A,Trevally,0,2,2
S0064,44795,Chang Wreck,Koh Chang,Trat,431,5,31,Net,12600,350,NA,Fish,B,Grouper,0,1,1
S0065,44799,Chumphon Pinnacle,Koh Tao,Surat Thani,432,29.3,29.3,Net,80,40,NA,NA,NA,NA,0,0,0
S0066,44852,Petra Wrek,Koh Mun Nok,Rayong,433,14.8,14.8,Net,130,100,NA,Fish,B,Grouper,1,0,1
S0066,44852,Petra Wrek,Koh Mun Nok,Rayong,433,14.8,14.8,Net,130,100,NA,Inverts,C,Murex (Unid),3,0,3
S0066,44852,Petra Wrek,Koh Mun Nok,Rayong,433,14.8,14.8,Net,130,100,NA,Inverts,B,Crabs (Unid),0,1,1
S0067,44855,Chilli Drop,Koh Mun Nai,Rayong,434,5.0999999999999996,5.0999999999999996,Line,180,NA,NA,NA,NA,NA,0,0,0
S0067,44855,Chilli Drop,Koh Mun Nai,Rayong,435,5,5,Line,760,NA,NA,NA,NA,NA,0,0,0
S0067,44855,Chilli Drop,Koh Mun Nai,Rayong,436,3.5,3.5,Net,150,80,NA,NA,NA,NA,0,0,0
S0067,44855,Chilli Drop,Koh Mun Nai,Rayong,437,2.9,2.9,Net,120,70,NA,NA,NA,NA,0,0,0
